HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
192	194	158	259	179	150	180	95	142	127	ENSG00000225267.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000225298.5_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225330.1_6
0	0	0	0	0	0	0	0	0	0	ENSG00000225331.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225431.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225502.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225555.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000225637.1_5
1	0	0	0	0	0	0	0	0	0	ENSG00000225731.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225735.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225906.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000226012.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226043.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226054.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226115.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226204.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226298.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226406.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226433.1_5
0	0	1	0	0	0	0	0	0	0	ENSG00000226496.2_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226501.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226527.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226543.3_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226580.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226751.2_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226771.1_5
0	0	0	0	1	0	0	0	0	0	ENSG00000226818.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226930.1_2
0	0	0	0	0	0	0	0	1	0	ENSG00000226935.6_4
0	0	0	0	0	0	0	0	0	0	ENSG00000226956.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226983.2_5
0	0	0	0	0	0	0	0	0	0	ENSG00000226996.5_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227039.6_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227054.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227075.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227090.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227256.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227330.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227342.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227406.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227438.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227456.7_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227698.1_6
0	0	0	0	0	0	0	0	0	0	ENSG00000227702.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227716.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227721.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227757.3_5
0	0	0	0	0	0	0	0	0	0	ENSG00000227840.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227874.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000227999.1_4
